SKU,FNSKU,ASIN,Short Des.,Return Quantity
HMPT2017S0SW29_3577GOLDEN3__SL,X001NWBNA1,B078P4KVTN,Switch Decal Golden,20
HMPT2018S0SW87_2169EMOJI7__SL,X001O1Z659,B078RM5LX9,Switch Decal Emoji,19
HMPT6577S0SW62_5077GRFIRE5__SL,X001NTQJWB,B06ZZR1G5M,Switch Decal Green Fire,15
HMPT2577S0SW31_3677RBOSTRIP2,X001DO1705,B06Y6NSMGF,Switch Decal Rainbow Strips,8
HMPT2187S0SW62_3897BLRED6__SL,X001O1X5PR,B078RGMLNT,Switch Decal Black Red,40
HMPT3877S0SW81_8977DOODLE6__SL,X001O9HUJV,B078Z6DDX4,Switch Decal Doodle,40
HMPT6958S0SW95_8741RBOWAV3__SL,X001O1XAMP,B078RNF667,Switch Decal Rainbow Waves,30
HMPT5677S0SW23_5777STARS6__SL,X001OB5GLX,B0791BPXK1,Switch Decal Stars,80
HMPT7577S0SW36_1377STASTRIP1__SL,X001OBEHV3,B078Z6WPSK,Switch Decal Star Strips,10
HMPT7177S0SW69_1877BLFIRE3__SL,X001NUI7BL,B071CDGLXV,Switch Decal Blue Fire,31
HMPT9632S0SW74_9530RAINBOW8__SL,X001O1YBJB,B078RN4251,Switch Decal Rainbow,20
YWDX30SPRT68_18WRST-BAL-BLU3,X001LEBXIX,B0768V4NYF,Wrist Ball Blue,30
YWDX58SPRT61_72WRST-BAL-GRN5,X001LECM4H,B0768VQSLD,Wrist Ball Green,30
YWDX61SPRT73_65WRST-BAL-BLK8,X001LEC085,B0768TMXS2,Wrist Ball Black,15
DCL2877HOVER57_HMPT8377BLUEDAEM58,X0015E5XNF,B01I2ZE0I2,Hoverboard Decal Blue Deamon,15
DCL5377HOVER16-HMPT9177STASTRIP22,X001517BZV,B01HRSOYD6,Hoverboard Decal Stars&Strips,20
XLY1777TOY62_SHXL7677HNDSPN-YELLOW6,X001CHQ50F,B06XBFL88K,Hand Spinner yellow,9
XLY6677TOY60_SHXL3077HNDSPN-BLACK8,X001CHQ505,B06XBZ8D31,Hand Spinner black,389
YIFAT2077TOY69_5577HANSPN_LIT-BL6,X001FGC5ON,B0714N4RN8,Hand Spinner LED BLUE,25
YIFAT8777TOY69_5977HANSPN_LIT-BK2,X001FGC5U7,B0725ZSZZ4,Hand Spinner LED Black,97
YIFAT6277TOY71_8077HANSPN_LIT-WT6,X001FGEEHJ,B071J5DB9K,Hand Spinner LED White,43
PYANG6277TOY79_5077HANSPN_CR-BL6,X001FGC5TX,B0725ZT3RL,Hand Spinner Chorme Blue,92